group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
United Kingdom,country,Popularity,0.07759505617632162,0.13408533501525785,0.1271008472470292,-0.05649027883893623,2480,2135271,265749,231,654,0.6847642789060782,0.31523572109392184,True,
France,country,Popularity,0.0007696475155699639,0.043141427774692855,0.04688649004265924,-0.04611684252708927,1820,797730,98882,145,9,0.6847642789060782,0.31523572109392184,True,
Germany,country,Popularity,0.006391117348306749,0.03228676809990919,0.031164293836632346,-0.025895650751602443,1038,682445,85509,111,72,0.6847642789060782,0.31523572109392184,True,
Italy,country,Popularity,0.01265098032897029,0.020264729775575554,0.021971696261056183,-0.009320715932085893,804,320173,39914,81,139,0.6847642789060782,0.31523572109392184,True,
Spain,country,Popularity,0.0,0.0037052399984905393,0.006318118948888027,-0.006318118948888027,390,115625,14171,28,0,0.6847642789060782,0.31523572109392184,True,
Sweden,country,Popularity,0.0,0.0009651208898595118,0.0017639173176521854,-0.0017639173176521854,218,44720,5581,12,0,0.6847642789060782,0.31523572109392184,True,
Finland,country,Popularity,0.0,7.817709390426266e-05,0.0,-7.817709390426266e-05,129,10329,1235,0,0,0.6847642789060782,0.31523572109392184,True,
Denmark,country,Popularity,0.0,0.0004835339790137984,0.0008127764446363125,-0.0008127764446363125,167,30758,3825,7,0,0.6847642789060782,0.31523572109392184,True,
Belgium,country,Popularity,0.0,0.0019216597248786938,0.0014573064013562382,-0.0019216597248786938,180,30003,3819,9,0,0.6847642789060782,0.31523572109392184,True,
Netherlands,country,Popularity,0.0,0.0009476476651355339,0.002396146951101336,-0.002396146951101336,124,36626,4628,17,0,0.6847642789060782,0.31523572109392184,True,
Ireland,country,Popularity,0.0,0.003858708552644462,0.00258745611111878,-0.003858708552644462,129,78690,9851,19,0,0.6847642789060782,0.31523572109392184,True,
Russia,country,Popularity,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,76,10796,1350,4,0,0.6847642789060782,0.31523572109392184,True,
Poland,country,Popularity,0.0,0.0019503540679978834,0.0033526944434510986,-0.0033526944434510986,76,31766,3960,13,0,0.6847642789060782,0.31523572109392184,True,
Norway,country,Popularity,0.0,0.0008582305041414256,0.0011111761909202674,-0.0011111761909202674,85,21350,2614,9,0,0.6847642789060782,0.31523572109392184,True,
Austria,country,Popularity,0.0,0.0019057577033846612,0.0018624158226301702,-0.0019057577033846612,77,23470,2877,12,0,0.6847642789060782,0.31523572109392184,True,
Switzerland,country,Popularity,0.0,0.0014657561340548617,0.002358400412918458,-0.002358400412918458,95,35282,4459,14,0,0.6847642789060782,0.31523572109392184,True,
Romania,country,Popularity,0.0,0.0,0.0,0.0,61,3078,388,0,0,0.6847642789060782,0.31523572109392184,True,
