movieId,title,genres,clean_title,release_year,imdbId,tmdbId,imdb_id_str,rating_count,mean_rating,rating_std,first_rating_at,last_rating_at,tag_count,unique_tag_count,top_tags,genome_tag_coverage,top_genome_tags,item_id,rating_count_test,rating_count_train,rating_count_validation,wikidata_uri,title_wikidata,country,original_language,language_of_work,production_company,production_company_country,production_company_hq_country,publication_date,has_mpnet_json,has_clip_json,has_mpnet_matrix,has_clip_matrix
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story,1995.0,114709,862.0,tt0114709,2442.0,3.951883701883702,0.867643201731325,1996-03-16 07:52:08,2015-03-24 21:00:19,436.0,84.0,pixar | animation | disney | tom hanks | computer animation | children | funny | witty,5.0,toys | computer animation | pixar animation | kids and family | animation,0.0,4835.0,39948.0,4912.0,http://www.wikidata.org/entity/Q171048,Toy Story,['United States'],"['English', 'Spanish']",[],"['Pixar', 'Walt Disney Pictures']",['United States'],['United States'],1996-03-21T00:00:00Z,True,True,True,True
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji,1995.0,113497,8844.0,tt0113497,1111.0,3.2641764176417642,0.9461701946886962,1996-03-16 07:48:13,2015-03-12 23:03:41,123.0,35.0,robin williams | fantasy | time travel | animals | board game | scary | kirsten dunst | kid flick,5.0,adventure | jungle | children | kids | special effects,,0.0,0.0,0.0,,,[],[],[],[],[],[],,True,True,False,False
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,1995.0,113228,15602.0,tt0113228,651.0,3.1927803379416284,0.9652070862600703,1996-05-29 21:51:47,2015-01-13 07:51:28,18.0,15.0,moldy | old | sequel | old people that is actually funny | sequel fever | grun running | comedinha de velhinhos engraãƒâ§ada | funniest movies,5.0,good sequel | sequel | sequels | comedy | original,1.0,1317.0,10153.0,1265.0,http://www.wikidata.org/entity/Q782465,Grumpier Old Men,['United States'],['English'],[],[],[],[],1996-05-02T00:00:00Z,True,True,True,True
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale,1995.0,114885,31357.0,tt0114885,131.0,3.0267175572519083,0.9851063532963108,1996-04-02 15:42:56,2009-08-31 08:53:46,6.0,4.0,chick flick | characters | revenge | clv,5.0,women | chick flick | girlie movie | romantic | unlikely friendships,2.0,304.0,2164.0,288.0,http://www.wikidata.org/entity/Q736254,Waiting to Exhale,['United States'],['English'],[],['20th Century Studios'],['United States'],['United States'],1996-01-25T00:00:00Z,True,True,True,True
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,1995.0,113041,11862.0,tt0113041,626.0,3.1445686900958467,1.020326640676466,1996-03-16 07:52:08,2015-01-18 02:16:15,22.0,17.0,steve martin | family | wedding | pregnancy | diane keaton | sequel | sequel fever | fantasy,5.0,good sequel | father daughter relationship | sequels | sequel | comedy,3.0,1186.0,9736.0,1239.0,http://www.wikidata.org/entity/Q1304560,Father of the Bride Part II,['United States'],['English'],[],['Touchstone Pictures'],['United States'],['United States'],1996-02-01T00:00:00Z,True,True,True,True
6,Heat (1995),Action|Crime|Thriller,Heat,1995.0,113277,949.0,tt0113277,1196.0,3.830685618729097,0.8554349197446456,1996-03-27 07:23:13,2015-03-08 12:07:31,259.0,84.0,al pacino | robert de niro | tense | atmospheric | suspense | great acting | michael mann | overrated,5.0,crime | heist | gunfight | bank robbery | great acting,,0.0,0.0,0.0,,,[],[],[],[],[],[],,True,True,False,False
7,Sabrina (1995),Comedy|Romance,Sabrina,1995.0,114319,11860.0,tt0114319,668.0,3.393712574850299,0.9640879920387763,1996-03-16 07:52:08,2015-02-07 23:35:36,45.0,21.0,remake | chick flick | romance | harrison ford | greg kinnear | based on a play | finding yourself | great cast,5.0,remake | romantic | romantic comedy | romance | paris,4.0,1343.0,10349.0,1269.0,http://www.wikidata.org/entity/Q900708,Sabrina,['United States'],['English'],[],['Paramount Pictures'],['United States'],['United States'],1996-01-11T00:00:00Z,True,True,True,True
8,Tom and Huck (1995),Adventure|Children,Tom and Huck,1995.0,112302,45325.0,tt0112302,75.0,3.3133333333333335,0.9992339408108937,1996-05-17 18:38:10,2012-12-14 01:59:32,7.0,7.0,adapted from:book | author:mark twain | library system | seen | peter hewitt | based on a book | mark twain,5.0,adventure | based on a book | unlikely friendships | childhood | friendship,,0.0,0.0,0.0,,,[],[],[],[],[],[],,True,True,False,False
9,Sudden Death (1995),Action,Sudden Death,1995.0,114576,9091.0,tt0114576,191.0,3.0392670157068062,0.9059902909384469,1996-03-16 08:03:21,2014-09-30 19:59:31,9.0,6.0,jean-claude van damme | peter hyams | action | can't remember | clv,5.0,action | good action | lone hero | video game adaptation | action packed,5.0,418.0,3158.0,384.0,http://www.wikidata.org/entity/Q241309,Sudden Death,['United States'],['English'],[],['Universal Pictures'],['United States'],['United States'],1996-05-17T00:00:00Z,True,True,True,True
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,1995.0,113189,710.0,tt0113189,1480.0,3.422635135135135,0.884618666186683,1996-02-28 09:32:14,2015-03-26 20:04:38,99.0,45.0,james bond | bond | 007 | pierce brosnan | espionage | action | 007 (series) | violence,5.0,007 | 007 (series) | bond | franchise | espionage,6.0,2961.0,23158.0,2886.0,http://www.wikidata.org/entity/Q19089,GoldenEye,"['United Kingdom', 'United States']",['English'],[],"['Eon Productions', 'United Artists']","['United Kingdom', 'United States']","['United Kingdom', 'United States']",1995-12-28T00:00:00Z,True,True,True,True
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The",1995.0,112346,9087.0,tt0112346,857.0,3.710035005834306,0.89206896117029,1996-02-28 09:32:14,2014-05-05 22:27:07,48.0,30.0,politics | president | romance | michael douglas | aaron sorkin | rob reiner | cute | girlie movie,5.0,president | politics | political | world politics | romantic comedy,7.0,1833.0,14476.0,1853.0,http://www.wikidata.org/entity/Q429311,The American President,['United States'],['English'],[],['Castle Rock Entertainment'],['United States'],['United States'],1995-01-01T00:00:00Z,True,True,True,True
