group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
Balkans,region,Popularity,0.0,0.0,0.0,0.0,61,3769,468,0,0,0.6847642789060782,0.31523572109392184,True,
Benelux,region,Popularity,0.0,0.00294408122013433,0.003516310495314717,-0.003516310495314717,310,74237,9285,23,0,0.6847642789060782,0.31523572109392184,True,
Central Europe,region,Popularity,0.0002562750302058536,0.007227102432077279,0.009638894773741899,-0.009382619743536045,179,131381,16318,38,3,0.6847642789060782,0.31523572109392184,True,
Eastern Europe,region,Popularity,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,150,15000,1888,4,0,0.6847642789060782,0.31523572109392184,True,
France,region,Popularity,0.0007696475155699639,0.043141427774692855,0.04688649004265924,-0.04611684252708927,1820,797730,98882,145,9,0.6847642789060782,0.31523572109392184,True,
Germany/Austria/Switzerland,region,Popularity,0.006391117348306749,0.03513350590858267,0.034455900273521425,-0.02874238856027592,1135,725483,90889,117,72,0.6847642789060782,0.31523572109392184,True,
Italy/Malta,region,Popularity,0.01265098032897029,0.020424471263640744,0.021991696261056178,-0.009340715932085889,805,325019,40529,81,139,0.6847642789060782,0.31523572109392184,True,
Nordics,region,Popularity,0.0,0.0015828559600127813,0.0027204134185475353,-0.0027204134185475353,471,69670,8609,18,0,0.6847642789060782,0.31523572109392184,True,
Other Europe,region,Popularity,0.0,6.212677571306702e-05,0.00017146922932085803,-0.00017146922932085803,71,4158,529,3,0,0.6847642789060782,0.31523572109392184,True,
Spain/Portugal,region,Popularity,0.0,0.0037052399984905393,0.006318118948888027,-0.006318118948888027,410,116068,14215,28,0,0.6847642789060782,0.31523572109392184,True,
UK/Ireland,region,Popularity,0.07759505617632162,0.1342019407172073,0.1273718137334271,-0.056606884540885694,2536,2144160,266804,231,654,0.6847642789060782,0.31523572109392184,True,
Unknown Europe,region,Popularity,0.9025931986308313,0.7992692763602832,0.7990645338265387,0.1033239222705481,21454,11692726,1463004,393,7126,0.6847642789060782,0.31523572109392184,True,
Balkans,region,ItemKNN,0.0,0.0,0.0,0.0,61,3769,468,0,0,0.6847642789060782,0.31523572109392184,True,
Benelux,region,ItemKNN,0.0,0.00294408122013433,0.003516310495314717,-0.003516310495314717,310,74237,9285,23,0,0.6847642789060782,0.31523572109392184,True,
Central Europe,region,ItemKNN,0.012346900195891446,0.007227102432077279,0.009638894773741899,0.0027080054221495474,179,131381,16318,38,92,0.6847642789060782,0.31523572109392184,True,
Eastern Europe,region,ItemKNN,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,150,15000,1888,4,0,0.6847642789060782,0.31523572109392184,True,
France,region,ItemKNN,0.005792643756626634,0.043141427774692855,0.04688649004265924,-0.041093846286032604,1820,797730,98882,145,61,0.6847642789060782,0.31523572109392184,True,
Germany/Austria/Switzerland,region,ItemKNN,0.018890202045252952,0.03513350590858267,0.034455900273521425,-0.016243303863329717,1135,725483,90889,117,163,0.6847642789060782,0.31523572109392184,True,
Italy/Malta,region,ItemKNN,0.002081171398290546,0.020424471263640744,0.021991696261056178,-0.019910524862765632,805,325019,40529,81,22,0.6847642789060782,0.31523572109392184,True,
Nordics,region,ItemKNN,0.0,0.0015828559600127813,0.0027204134185475353,-0.0027204134185475353,471,69670,8609,18,0,0.6847642789060782,0.31523572109392184,True,
Other Europe,region,ItemKNN,0.0,6.212677571306702e-05,0.00017146922932085803,-0.00017146922932085803,71,4158,529,3,0,0.6847642789060782,0.31523572109392184,True,
Spain/Portugal,region,ItemKNN,0.00017604815061130331,0.0037052399984905393,0.006318118948888027,-0.006142070798276724,410,116068,14215,28,2,0.6847642789060782,0.31523572109392184,True,
UK/Ireland,region,ItemKNN,0.12301764570637357,0.1342019407172073,0.1273718137334271,-0.011184295010833747,2536,2144160,266804,231,924,0.6847642789060782,0.31523572109392184,True,
Unknown Europe,region,ItemKNN,0.8513300433776682,0.7992692763602832,0.7990645338265387,0.052060767017384935,21454,11692726,1463004,393,6842,0.6847642789060782,0.31523572109392184,True,
Balkans,region,SVD,0.0,0.0,0.0,0.0,61,3769,468,0,0,0.6847642789060782,0.31523572109392184,True,
Benelux,region,SVD,0.0019144375233494442,0.00294408122013433,0.003516310495314717,-0.0016018729719652729,310,74237,9285,23,21,0.6847642789060782,0.31523572109392184,True,
Central Europe,region,SVD,0.009301877457763189,0.007227102432077279,0.009638894773741899,-0.00033701731597871043,179,131381,16318,38,71,0.6847642789060782,0.31523572109392184,True,
Eastern Europe,region,SVD,0.0,5.2828665408969566e-05,0.000583644296879591,-0.000583644296879591,150,15000,1888,4,0,0.6847642789060782,0.31523572109392184,True,
France,region,SVD,0.029423035178626242,0.043141427774692855,0.04688649004265924,-0.017463454864032998,1820,797730,98882,145,267,0.6847642789060782,0.31523572109392184,True,
Germany/Austria/Switzerland,region,SVD,0.022293298907156957,0.03513350590858267,0.034455900273521425,-0.012840207001425713,1135,725483,90889,117,184,0.6847642789060782,0.31523572109392184,True,
Italy/Malta,region,SVD,0.020440099843242826,0.020424471263640744,0.021991696261056178,-0.0015515964178133522,805,325019,40529,81,163,0.6847642789060782,0.31523572109392184,True,
Nordics,region,SVD,0.00055702649932178,0.0015828559600127813,0.0027204134185475353,-0.002163386919225755,471,69670,8609,18,6,0.6847642789060782,0.31523572109392184,True,
Other Europe,region,SVD,0.0,6.212677571306702e-05,0.00017146922932085803,-0.00017146922932085803,71,4158,529,3,0,0.6847642789060782,0.31523572109392184,True,
Spain/Portugal,region,SVD,0.002970423638554896,0.0037052399984905393,0.006318118948888027,-0.0033476953103331315,410,116068,14215,28,29,0.6847642789060782,0.31523572109392184,True,
