group_name,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_recommended_slots
Platform-compatible Europe,Popularity,0.09740680136916863,0.19521229557510617,0.18968721467850266,-0.09780549420593754,2172,3103821,386466,874
Platform-compatible Europe,ItemKNN,0.14866995662233165,0.19521229557510617,0.18968721467850266,-0.046542338952774515,2172,3103821,386466,1158
Platform-compatible Europe,SVD,0.1840564204760148,0.19521229557510617,0.18968721467850266,-0.011155875099091356,2172,3103821,386466,1505
Platform-compatible Europe,MPNet-content,0.1559142401084986,0.19521229557510617,0.18968721467850266,-0.03929805546660756,2172,3103821,386466,1389
Platform-compatible Europe,CLIP-image-content,0.3183342455380901,0.19521229557510617,0.18968721467850266,0.12312194996298392,2172,3103821,386466,2278
Platform-compatible Europe,Hybrid,0.181010810375477,0.19521229557510617,0.18968721467850266,-0.01420148519962916,2172,3103821,386466,1489
Local Europe,Popularity,0.0,0.004927602109133542,0.009395444959358634,-0.009395444959358634,3010,195177,24487,0
Local Europe,ItemKNN,0.0,0.004927602109133542,0.009395444959358634,-0.009395444959358634,3010,195177,24487,0
Local Europe,SVD,0.0036780136758992254,0.004927602109133542,0.009395444959358634,-0.005717431283459408,3010,195177,24487,34
Local Europe,MPNet-content,0.01932523385895268,0.004927602109133542,0.009395444959358634,0.009929788899594047,3010,195177,24487,178
Local Europe,CLIP-image-content,0.0096462400306307,0.004927602109133542,0.009395444959358634,0.0002507950712720662,3010,195177,24487,101
Local Europe,Hybrid,0.0011874965233993646,0.004927602109133542,0.009395444959358634,-0.008207948435959268,3010,195177,24487,9
Local non-English no-US Europe,Popularity,0.0,0.011466305859029906,0.01649093586496748,-0.01649093586496748,2102,306147,38127,0
Local non-English no-US Europe,ItemKNN,0.0,0.011466305859029906,0.01649093586496748,-0.01649093586496748,2102,306147,38127,0
Local non-English no-US Europe,SVD,0.006015316528145059,0.011466305859029906,0.01649093586496748,-0.010475619336822423,2102,306147,38127,58
Local non-English no-US Europe,MPNet-content,0.026321660499048112,0.011466305859029906,0.01649093586496748,0.00983072463408063,2102,306147,38127,243
Local non-English no-US Europe,CLIP-image-content,0.00967638591228031,0.011466305859029906,0.01649093586496748,-0.006814549952687172,2102,306147,38127,101
Local non-English no-US Europe,Hybrid,0.004126485799599734,0.011466305859029906,0.01649093586496748,-0.012364450065367748,2102,306147,38127,36
European award-signal subset,Popularity,8.687543174717142e-05,0.012780880277715598,0.01632134835176622,-0.016234472920019047,188,217078,27039,1
European award-signal subset,ItemKNN,0.0,0.012780880277715598,0.01632134835176622,-0.01632134835176622,188,217078,27039,0
European award-signal subset,SVD,0.009700351274420775,0.012780880277715598,0.01632134835176622,-0.006620997077345444,188,217078,27039,88
European award-signal subset,MPNet-content,0.02069809880071957,0.012780880277715598,0.01632134835176622,0.004376750448953349,188,217078,27039,191
European award-signal subset,CLIP-image-content,0.00967638591228031,0.012780880277715598,0.01632134835176622,-0.00664496243948591,188,217078,27039,101
European award-signal subset,Hybrid,0.004318375680452319,0.012780880277715598,0.01632134835176622,-0.012002972671313901,188,217078,27039,35
European film with European director citizenship,Popularity,8.687543174717142e-05,0.014792368430374639,0.017234804243266268,-0.017147928811519095,405,305336,38132,1
European film with European director citizenship,ItemKNN,0.0,0.014792368430374639,0.017234804243266268,-0.017234804243266268,405,305336,38132,0
European film with European director citizenship,SVD,0.009654055211544459,0.014792368430374639,0.017234804243266268,-0.007580749031721809,405,305336,38132,88
European film with European director citizenship,MPNet-content,0.026963331492550816,0.014792368430374639,0.017234804243266268,0.009728527249284549,405,305336,38132,249
European film with European director citizenship,CLIP-image-content,0.00967638591228031,0.014792368430374639,0.017234804243266268,-0.007558418330985958,405,305336,38132,101
European film with European director citizenship,Hybrid,0.006602754388860098,0.014792368430374639,0.017234804243266268,-0.010632049854406168,405,305336,38132,57
