movieId,item_id,title,is_european_wide,is_non_english,has_us_origin,has_us_company_involvement,is_coproduction,is_blockbuster_head,num_origin_countries,rating_count_train,directors,director_citizenship,filming_location_country,award_count,global_compatibility_score,local_europe_score,platform_compatible_europe,local_europe,local_non_english_no_us_europe,award_signal_europe,director_europe_european_film
1,0.0,Toy Story (1995),False,False,True,True,False,True,1,39948.0,,,,0.0,0.8,0.2,False,False,False,False,False
2,,Jumanji (1995),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
3,1.0,Grumpier Old Men (1995),False,False,True,False,False,True,1,10153.0,,,,0.0,0.8,0.2,False,False,False,False,False
4,2.0,Waiting to Exhale (1995),False,False,True,True,False,True,1,2164.0,,,,0.0,0.8,0.2,False,False,False,False,False
5,3.0,Father of the Bride Part II (1995),False,False,True,True,False,True,1,9736.0,,,,0.0,0.8,0.2,False,False,False,False,False
6,,Heat (1995),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
7,4.0,Sabrina (1995),False,False,True,True,False,True,1,10349.0,,,,0.0,0.8,0.2,False,False,False,False,False
8,,Tom and Huck (1995),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
9,5.0,Sudden Death (1995),False,False,True,True,False,True,1,3158.0,,,,0.0,0.8,0.2,False,False,False,False,False
10,6.0,GoldenEye (1995),True,False,True,True,True,True,2,23158.0,,,,0.0,1.0,0.2,True,False,False,False,False
11,7.0,"American President, The (1995)",False,False,True,True,False,True,1,14476.0,,,,0.0,0.8,0.2,False,False,False,False,False
12,8.0,Dracula: Dead and Loving It (1995),True,False,True,True,True,True,3,3086.0,,,,0.0,1.0,0.2,True,False,False,False,False
13,9.0,Balto (1995),False,False,True,True,False,True,1,1178.0,,,,0.0,0.8,0.2,False,False,False,False,False
14,10.0,Nixon (1995),False,False,True,True,False,True,1,4773.0,,,,0.0,0.8,0.2,False,False,False,False,False
15,11.0,Cutthroat Island (1995),True,False,True,False,True,True,4,2355.0,,,,0.0,1.0,0.2,True,False,False,False,False
16,12.0,Casino (1995),True,False,True,True,True,True,2,13791.0,,,,0.0,1.0,0.2,True,False,False,False,False
17,13.0,Sense and Sensibility (1995),True,False,True,True,True,True,2,16619.0,,,,0.0,1.0,0.2,True,False,False,False,False
18,14.0,Four Rooms (1995),False,False,True,True,False,True,1,4169.0,,,,0.0,0.8,0.2,False,False,False,False,False
19,15.0,Ace Ventura: When Nature Calls (1995),False,False,True,True,False,True,1,16703.0,,,,0.0,0.8,0.2,False,False,False,False,False
20,16.0,Money Train (1995),False,False,True,True,False,True,1,3293.0,,,,0.0,0.8,0.2,False,False,False,False,False
21,17.0,Get Shorty (1995),False,False,True,False,False,True,1,19267.0,,,,0.0,0.8,0.2,False,False,False,False,False
22,18.0,Copycat (1995),False,False,True,True,False,True,1,7928.0,,,,0.0,0.8,0.2,False,False,False,False,False
23,19.0,Assassins (1995),True,False,True,True,True,True,2,3357.0,,,,0.0,1.0,0.2,True,False,False,False,False
24,20.0,Powder (1995),False,False,True,True,False,True,1,6408.0,,,,0.0,0.8,0.2,False,False,False,False,False
25,21.0,Leaving Las Vegas (1995),True,False,True,False,True,True,2,17228.0,,,,0.0,1.0,0.2,True,False,False,False,False
26,22.0,Othello (1995),True,False,True,True,True,True,2,2233.0,,,,0.0,1.0,0.2,True,False,False,False,False
27,23.0,Now and Then (1995),False,False,True,True,False,True,1,1341.0,,,,0.0,0.8,0.2,False,False,False,False,False
28,,Persuasion (1995),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
29,25.0,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",True,True,False,False,True,True,3,6871.0,Marc Caro|Jean-Pierre Jeunet,France,France,0.0,0.6,0.6,True,False,True,False,True
30,26.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),True,True,False,False,True,True,2,1035.0,Zhang Yimou,People's Republic of China,,1.0,0.6,0.6,True,False,True,True,False
31,27.0,Dangerous Minds (1995),False,False,True,True,False,True,1,7594.0,,,,0.0,0.8,0.2,False,False,False,False,False
32,28.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),False,False,True,True,False,True,1,35870.0,,,,0.0,0.8,0.2,False,False,False,False,False
33,29.0,Wings of Courage (1995),True,False,True,False,True,False,2,49.0,,,,0.0,0.6,0.4,True,False,False,False,False
34,30.0,Babe (1995),False,False,True,False,True,True,2,25737.0,,,,0.0,1.0,0.0,False,False,False,False,False
35,31.0,Carrington (1995),True,False,False,False,True,True,2,1192.0,,,,0.0,0.8,0.4,True,False,False,False,False
36,32.0,Dead Man Walking (1995),False,False,True,False,False,True,1,16691.0,,,,0.0,0.8,0.2,False,False,False,False,False
37,33.0,Across the Sea of Time (1995),False,False,True,False,False,False,1,59.0,,,,0.0,0.4,0.4,False,False,False,False,False
38,34.0,It Takes Two (1995),False,False,True,False,False,True,1,425.0,,,,0.0,0.8,0.2,False,False,False,False,False
39,35.0,Clueless (1995),False,False,True,True,False,True,1,20946.0,,,,0.0,0.8,0.2,False,False,False,False,False
40,36.0,"Cry, the Beloved Country (1995)",False,False,True,False,True,True,2,708.0,,,,0.0,1.0,0.0,False,False,False,False,False
41,37.0,Richard III (1995),True,False,False,True,False,True,1,3742.0,,,,0.0,0.8,0.4,True,False,False,False,False
42,38.0,Dead Presidents (1995),False,False,True,True,False,True,1,1949.0,,,,0.0,0.8,0.2,False,False,False,False,False
43,39.0,Restoration (1995),True,False,True,False,True,True,2,2086.0,,,,0.0,1.0,0.2,True,False,False,False,False
44,40.0,Mortal Kombat (1995),False,False,True,True,False,True,1,8592.0,,,,0.0,0.8,0.2,False,False,False,False,False
45,41.0,To Die For (1995),True,False,True,False,True,True,2,7144.0,,,,0.0,1.0,0.2,True,False,False,False,False
46,,How to Make an American Quilt (1995),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
47,42.0,Seven (a.k.a. Se7en) (1995),False,False,True,True,False,True,1,34540.0,,,,0.0,0.8,0.2,False,False,False,False,False
48,43.0,Pocahontas (1995),False,False,True,True,False,True,1,10476.0,,,,0.0,0.8,0.2,False,False,False,False,False
49,44.0,When Night Is Falling (1995),False,False,False,False,False,False,1,194.0,,,,0.0,0.2,0.6,False,False,False,False,False
50,45.0,"Usual Suspects, The (1995)",False,False,True,False,False,True,1,37635.0,,,,0.0,0.8,0.2,False,False,False,False,False
51,46.0,Guardian Angel (1994),False,False,True,False,False,False,1,23.0,,,,0.0,0.4,0.4,False,False,False,False,False
52,47.0,Mighty Aphrodite (1995),False,False,True,True,False,True,1,7425.0,,,,0.0,0.8,0.2,False,False,False,False,False
53,,Lamerica (1994),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
54,48.0,"Big Green, The (1995)",False,False,True,True,False,True,1,763.0,,,,0.0,0.8,0.2,False,False,False,False,False
55,49.0,Georgia (1995),True,False,True,False,True,True,2,747.0,,,,0.0,1.0,0.2,True,False,False,False,False
56,,Kids of the Round Table (1995),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
57,,Home for the Holidays (1995),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
58,50.0,"Postman, The (Postino, Il) (1994)",True,True,False,False,True,True,3,9194.0,Michael Radford,United Kingdom,Italy,4.0,0.6,0.6,True,False,True,True,True
59,,"Confessional, The (Confessionnal, Le) (1995)",False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
60,51.0,"Indian in the Cupboard, The (1995)",False,False,True,True,False,True,1,4987.0,,,,0.0,0.8,0.2,False,False,False,False,False
61,52.0,Eye for an Eye (1996),False,False,True,True,False,True,1,1837.0,,,,0.0,0.8,0.2,False,False,False,False,False
62,53.0,Mr. Holland's Opus (1995),False,False,True,True,False,True,1,15581.0,,,,0.0,0.8,0.2,False,False,False,False,False
63,54.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),False,False,True,False,False,True,1,1872.0,,,,0.0,0.8,0.2,False,False,False,False,False
64,55.0,Two if by Sea (1996),False,False,True,False,False,True,1,1657.0,,,,0.0,0.8,0.2,False,False,False,False,False
65,56.0,Bio-Dome (1996),False,False,True,False,False,True,1,3915.0,,,,0.0,0.8,0.2,False,False,False,False,False
66,57.0,Lawnmower Man 2: Beyond Cyberspace (1996),False,False,True,False,False,True,1,1886.0,,,,0.0,0.8,0.2,False,False,False,False,False
67,58.0,Two Bits (1995),False,False,True,False,False,False,1,139.0,,,,0.0,0.4,0.4,False,False,False,False,False
68,,French Twist (Gazon maudit) (1995),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
69,59.0,Friday (1995),False,False,True,True,False,True,1,3477.0,,,,0.0,0.8,0.2,False,False,False,False,False
70,,From Dusk Till Dawn (1996),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
71,,Fair Game (1995),False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
72,60.0,Kicking and Screaming (1995),False,False,True,False,False,True,1,984.0,,,,0.0,0.8,0.2,False,False,False,False,False
73,,"Misérables, Les (1995)",False,False,False,False,False,False,0,0.0,,,,0.0,0.0,0.6,False,False,False,False,False
74,61.0,Bed of Roses (1996),False,False,True,True,False,True,1,2826.0,,,,0.0,0.8,0.2,False,False,False,False,False
75,62.0,Big Bully (1996),False,False,True,True,False,True,1,434.0,,,,0.0,0.8,0.2,False,False,False,False,False
76,63.0,Screamers (1995),False,False,True,False,True,True,3,2728.0,,,,0.0,1.0,0.0,False,False,False,False,False
77,64.0,Nico Icon (1995),False,False,True,False,False,False,1,180.0,,,,0.0,0.4,0.4,False,False,False,False,False
78,65.0,"Crossing Guard, The (1995)",False,False,True,True,False,True,1,1006.0,,,,0.0,0.8,0.2,False,False,False,False,False
