label,value,share
English,14215.576984126985,0.5211370695845363
Unknown language,8925.0,0.32718674389617997
French,854.0242063492063,0.03130816798699341
Japanese,515.6968253968254,0.018905228587023433
Spanish,389.57460317460317,0.014281640999142278
Italian,357.2944444444444,0.013098263965263007
German,343.58531746031747,0.012595693139537994
Korean,138.32896825396824,0.005071081760171868
Russian,134.47619047619048,0.0049298405482876475
Cantonese,122.78333333333333,0.004501185326392452
Hindi,109.77777777777777,0.004024407133139444
Swedish,109.30555555555556,0.004007095665208429
Finnish,75.71666666666667,0.0027757411344917753
Mandarin,67.10833333333333,0.002460163257325805
Danish,65.72222222222223,0.002409349007340062
Portuguese,57.62896825396825,0.0021126537229257366
Persian,54.55833333333333,0.0020000855390180116
Dutch,45.68333333333333,0.001674731774079233
Polish,43.22222222222222,0.001584508476509356
Standard Chinese,42.78333333333333,0.001568418994549942
Hebrew,40.92619047619048,0.0015003369189893125
Chinese,38.75,0.0014205586919862157
Romanian,37.9,0.0013893980497103888
Arabic,37.7984126984127,0.0013856739019874143
Norwegian,36.11666666666667,0.001324021800229733
Turkish,31.68174603174603,0.0011614394761986224
Thai,27.50952380952381,0.0010084875654198916
Greek,27.17222222222222,0.0009961222311834523
Czech,24.51388888888889,0.000898668849948269
Hungarian,21.53333333333333,0.0007894029376542754
Yue Chinese,16.366666666666667,0.0005999951120561135
Indonesian,14.98611111111111,0.0005493845263989701
Serbian,14.15952380952381,0.0005190821837936728
Icelandic,12.166666666666666,0.00044602487963438166
American English,11.833333333333334,0.00043380501991837126
Bangla,11.166666666666666,0.0004093653004863503
Catalan,8.916666666666666,0.0003268812474032797
Vietnamese,8.666666666666666,0.00031771635261627185
Latin,7.4,0.00027128088569543213
Serbo-Croatian,7.059523809523809,0.00025879917184265
Putonghua,6.0,0.00021995747488818822
Latvian,6.0,0.00021995747488818822
Standard Taiwanese Mandarin,5.95,0.00021812449593078666
Georgian,5.25,0.00019246279052716469
Tagalog,4.916666666666666,0.00018024293081115423
Tamil,4.75,0.000174133000953149
Bulgarian,4.533333333333333,0.0001661900921377422
Kurdish,4.361111111111111,0.0001598764979511368
Taiwanese Hokkien,3.95,0.0001448053376347239
Bosnian,3.8428571428571425,0.0001408775255831491
Malayalam,3.5,0.0001283085270181098
Afrikaans,3.5,0.0001283085270181098
Estonian,3.3333333333333335,0.00012219859716010458
Wolof,3.033333333333333,0.00011120072341569515
Zulu,2.8333333333333335,0.00010386880758608889
Albanian,2.7333333333333334,0.00010020284967128575
Ukrainian,2.5666666666666664,9.409291981328051e-05
Armenian,2.533333333333333,9.287093384167946e-05
Mongolian,2.5,9.164894787007842e-05
Yiddish,2.3166666666666664,8.492802502627266e-05
Flemish Dutch,2.1166666666666667,7.75961091966664e-05
Irish,2.083333333333333,7.637412322506535e-05
Slovene,2.0555555555555554,7.535580158206448e-05
Lithuanian,2.0555555555555554,7.535580158206448e-05
Sichuanese,2.0,7.331915829606275e-05
American Sign Language,2.0,7.331915829606275e-05
Macedonian,2.0,7.331915829606275e-05
Inuktitut,2.0,7.331915829606275e-05
Quebec French,2.0,7.331915829606275e-05
Croatian,1.953968253968254,7.163165385908987e-05
Swiss German,1.95,7.148617933866118e-05
Kinyarwanda,1.8333333333333333,6.72092284380575e-05
Romani,1.75,6.41542635090549e-05
Tibetan,1.75,6.41542635090549e-05
Galician,1.6666666666666665,6.109929858005228e-05
Quechua,1.6666666666666665,6.109929858005228e-05
Māori,1.5,5.4989368722047054e-05
Moroccan Arabic,1.5,5.4989368722047054e-05
Esperanto,1.5,5.4989368722047054e-05
Punjabi,1.4166666666666665,5.193440379304444e-05
Bambara,1.3666666666666667,5.0101424835642875e-05
Sicilian,1.3333333333333333,4.8879438864041825e-05
Filipino,1.3333333333333333,4.8879438864041825e-05
Slovak,1.2817460317460316,4.6988270098468776e-05
Neapolitan,1.25,4.582447393503921e-05
Northern Sami,1.25,4.582447393503921e-05
Dari,1.2333333333333334,4.5213480949238696e-05
Urdu,1.2,4.3991494977637646e-05
Pashto,1.075,3.9409047584133724e-05
Marathi,1.0,3.6659579148031374e-05
Mooré,1.0,3.6659579148031374e-05
Shuwa,1.0,3.6659579148031374e-05
Northern Sotho,1.0,3.6659579148031374e-05
Plautdietsch,1.0,3.6659579148031374e-05
Scottish Gaelic,1.0,3.6659579148031374e-05
Q13049783,1.0,3.6659579148031374e-05
Syriac,1.0,3.6659579148031374e-05
Jamaican Patois,1.0,3.6659579148031374e-05
Lombard,1.0,3.6659579148031374e-05
Australian English,1.0,3.6659579148031374e-05
Egyptian Arabic,1.0,3.6659579148031374e-05
Belgian Dutch,1.0,3.6659579148031374e-05
Welsh,1.0,3.6659579148031374e-05
Aymara,1.0,3.6659579148031374e-05
Jin,1.0,3.6659579148031374e-05
artistic language,1.0,3.6659579148031374e-05
no linguistic content,1.0,3.6659579148031374e-05
Lao,1.0,3.6659579148031374e-05
Somali,0.9166666666666666,3.360461421902875e-05
Swahili,0.9166666666666666,3.360461421902875e-05
Sioux,0.5,1.8329789574015687e-05
Ancient Greek,0.5,1.8329789574015687e-05
Cape Verdean Creole,0.5,1.8329789574015687e-05
Burmese,0.5,1.8329789574015687e-05
Yolŋu,0.5,1.8329789574015687e-05
Baoulé,0.5,1.8329789574015687e-05
Bavarian,0.5,1.8329789574015687e-05
Atlantean,0.5,1.8329789574015687e-05
Azerbaijani,0.5,1.8329789574015687e-05
Classical Arabic,0.5,1.8329789574015687e-05
Austrian German,0.5,1.8329789574015687e-05
Chechen,0.5,1.8329789574015687e-05
Eastern Canadian Inuktitut,0.5,1.8329789574015687e-05
Isan,0.5,1.8329789574015687e-05
Nepali,0.5,1.8329789574015687e-05
Tupi,0.5,1.8329789574015687e-05
Klingon,0.5,1.8329789574015687e-05
Kazakh,0.5,1.8329789574015687e-05
Na'vi,0.5,1.8329789574015687e-05
Nadsat,0.5,1.8329789574015687e-05
Kaqchikel,0.5,1.8329789574015687e-05
Ukrainian Sign Language,0.5,1.8329789574015687e-05
parseltongue,0.5,1.8329789574015687e-05
Iranian Persian,0.5,1.8329789574015687e-05
Warlpiri,0.5,1.8329789574015687e-05
Gullah,0.5,1.8329789574015687e-05
Guarani,0.5,1.8329789574015687e-05
Picard,0.5,1.8329789574015687e-05
German Sign Language,0.5,1.8329789574015687e-05
