label,value,share_catalogue,share_interaction
Abkhaz,0.3333333333333333,1.2219859716010456e-05,2.218912787763033e-08
Afrikaans,3.5,0.0001283085270181098,0.0002757221030074345
Albanian,2.7333333333333334,0.00010020284967128575,5.506010191555192e-05
American English,11.833333333333334,0.00043380501991837126,0.0009424166392187156
American Sign Language,2.0,7.331915829606275e-05,6.863097252551062e-05
Ancient Greek,0.5,1.8329789574015687e-05,1.7573789279083222e-05
Arabic,37.7984126984127,0.0013856739019874143,0.0011172700839385966
Arhuaco,0.25,9.164894787007843e-06,3.32836918164455e-08
Armenian,2.533333333333333,9.287093384167946e-05,5.893432364298616e-06
Asháninka,0.25,9.164894787007843e-06,1.7041250210020097e-05
Atlantean,0.5,1.8329789574015687e-05,6.709992270195412e-05
Australian English,1.0,3.6659579148031374e-05,0.00047455887791887993
Austrian German,0.5,1.8329789574015687e-05,3.32836918164455e-07
Ayacucho Quechua,0.2,7.331915829606275e-06,2.6626953453156402e-08
Aymara,1.0,3.6659579148031374e-05,3.32836918164455e-08
Azerbaijani,0.5,1.8329789574015687e-05,3.1286670307458767e-06
Bambara,1.3666666666666667,5.0101424835642875e-05,2.88236771130418e-06
Bangla,11.166666666666666,0.0004093653004863503,8.442963157438341e-05
Baoulé,0.5,1.8329789574015687e-05,7.655249117782464e-07
Bavarian,0.5,1.8329789574015687e-05,3.32836918164455e-07
Belarusian,0.3333333333333333,1.2219859716010456e-05,7.300223071740379e-06
Belgian Dutch,1.0,3.6659579148031374e-05,3.927475634340569e-06
Bhojpuri,0.25,9.164894787007843e-06,2.66269534531564e-07
Bosnian,3.8428571428571425,0.0001408775255831491,1.6541994832773414e-05
Brazilian Portuguese,0.2,7.331915829606275e-06,2.524235187359227e-05
Bulgarian,4.533333333333333,0.0001661900921377422,0.00012036936199778126
Burmese,0.5,1.8329789574015687e-05,5.99106452696019e-07
Cantonese,122.78333333333333,0.004501185326392452,0.001965593937717248
Cape Verdean Creole,0.5,1.8329789574015687e-05,3.32836918164455e-08
Catalan,8.916666666666666,0.0003268812474032797,0.00015532944242538173
Chechen,0.5,1.8329789574015687e-05,3.32836918164455e-07
Chinese,38.75,0.0014205586919862157,0.0009967661343139862
Classical Arabic,0.5,1.8329789574015687e-05,5.658227608795734e-07
Corsican,0.3333333333333333,1.2219859716010456e-05,1.8084139220268718e-05
Croatian,1.953968253968254,7.163165385908987e-05,1.9785305690887047e-05
Crow,0.3333333333333333,1.2219859716010456e-05,2.549530793139725e-05
Czech,24.51388888888889,0.000898668849948269,0.0004028621075582767
Danish,65.72222222222223,0.002409349007340062,0.0005637277373891272
Dari,1.2333333333333334,4.5213480949238696e-05,1.6557527222287757e-05
Dutch,45.68333333333333,0.001674731774079233,0.00022813677863626035
Eastern Canadian Inuktitut,0.5,1.8329789574015687e-05,4.65971685430237e-07
Egyptian,0.3333333333333333,1.2219859716010456e-05,0.00029780028524567666
Egyptian Arabic,1.0,3.6659579148031374e-05,4.65971685430237e-07
Embera,0.3333333333333333,1.2219859716010456e-05,1.7529411023327963e-06
English,14215.576984126985,0.5211370695845363,0.9171905170543968
Esperanto,1.5,5.4989368722047054e-05,2.995532263480095e-07
Estonian,3.3333333333333335,0.00012219859716010458,5.036932028222086e-06
Filipino,1.3333333333333333,4.8879438864041825e-05,4.437825575526066e-07
Finnish,75.71666666666667,0.0027757411344917753,0.0003140016769655285
Flemish Dutch,2.1166666666666667,7.75961091966664e-05,6.4648024071475975e-06
French,854.0242063492063,0.03130816798699341,0.01710741932522321
Galician,1.6666666666666665,6.109929858005228e-05,2.8402083683366826e-05
Georgian,5.25,0.00019246279052716469,1.4838979268165284e-05
German,343.58531746031747,0.012595693139537994,0.009078742162921547
German Sign Language,0.5,1.8329789574015687e-05,4.593149470669479e-06
Greek,27.17222222222222,0.0009961222311834523,0.00032797269151488046
Guarani,0.5,1.8329789574015687e-05,9.985107544933649e-08
Gujarati,0.2,7.331915829606275e-06,2.249977566791716e-06
Gullah,0.5,1.8329789574015687e-05,2.529560578049858e-06
Hakka Chinese,0.25,9.164894787007843e-06,2.995532263480095e-06
Hassaniya Arabic,0.3333333333333333,1.2219859716010456e-05,4.437825575526066e-08
Hebrew,40.92619047619048,0.0015003369189893125,0.0007437981102293237
Herero,0.25,9.164894787007843e-06,1.6808264367304978e-06
Hindi,109.77777777777777,0.004024407133139444,0.0005090130462308704
Hungarian,21.53333333333333,0.0007894029376542754,0.00018760907620536443
Icelandic,12.166666666666666,0.00044602487963438166,0.00011570520731790337
Indonesian,14.98611111111111,0.0005493845263989701,4.549603307209629e-05
