group_name,mean_exposure,mean_pacpg,worst_pacpg,best_exposure,history_share,relevant_test_share,support_users,support_catalogue_items,support_train_interactions,support_test_interactions,visibility_target,mean_gap_vs_target,best_exposure_model,best_model_exposure_at_20,weakest_pacpg_model,weakest_model_pacpg_at_20,catalogue_share,train_interaction_share,european_region,problem_type
France,0.029674299831866424,-0.017212190210792816,-0.04611684252708927,0.0793329113104814,0.043141427774692855,0.04688649004265924,145,1820,797730,98882,0.04688649004265924,-0.017212190210792816,MPNet-content,0.0793329113104814,Popularity,-0.04611684252708927,0.037767087394442775,0.0252456684367983,France,underexposed relative to target
Spain,0.0014107799518251274,-0.0049073389970629,-0.006318118948888027,0.0030160898262029555,0.0037052399984905393,0.006318118948888027,28,390,115625,14171,0.006318118948888027,-0.0049073389970629,MPNet-content,0.0030160898262029555,Popularity,-0.006318118948888027,0.008113793909490075,0.0037315063041206686,Spain/Portugal,near target or low-support signal
Germany,0.02821970746215878,-0.004067060637750412,-0.025895650751602443,0.05156778279508663,0.03228676809990919,0.031164293836632346,111,1038,682445,85509,0.03228676809990919,-0.004067060637750412,MPNet-content,0.05156778279508663,Popularity,-0.025895650751602443,0.018719730200960495,0.019251206120384966,Germany/Austria/Switzerland,near target or low-support signal
Poland,8.286035599273395e-05,-0.0032698340874583644,-0.0033526944434510986,0.0004971621359564037,0.0019503540679978834,0.0033526944434510986,13,76,31766,3960,0.0033526944434510986,-0.0032698340874583644,SVD,0.0004971621359564037,Popularity,-0.0033526944434510986,0.0018127987319277003,0.0006272041649424128,Central Europe,near-invisible despite target signal
Netherlands,4.7799029466319576e-05,-0.0023483479216350168,-0.002396146951101336,0.00018774150915837847,0.0009476476651355339,0.002396146951101336,17,124,36626,4628,0.002396146951101336,-0.0023483479216350168,SVD,0.00018774150915837847,Popularity,-0.002396146951101336,0.002501226889378513,0.000757391251024347,Benelux,near-invisible despite target signal
Switzerland,0.0003486828154844079,-0.00200971759743405,-0.002358400412918458,0.0020920968929064475,0.0014657561340548617,0.002358400412918458,14,95,35282,4459,0.002358400412918458,-0.0020097175974340504,CLIP-image-content,0.0020920968929064475,Popularity,-0.002358400412918458,0.0013143331971691822,0.0007565348281248539,Germany/Austria/Switzerland,near-invisible despite target signal
Sweden,4.131976354994478e-05,-0.0017225975541022406,-0.0017639173176521854,0.0002479185812996687,0.0009651208898595118,0.0017639173176521854,12,218,44720,5581,0.0017639173176521854,-0.0017225975541022406,SVD,0.0002479185812996687,Popularity,-0.0017639173176521854,0.005029719528949678,0.0015737666437565891,Nordics,near-invisible despite target signal
Austria,0.00021537196166875145,-0.0016903857417159098,-0.0019057577033846612,0.0012922317700125086,0.0019057577033846612,0.0018624158226301702,12,77,23470,2877,0.0019057577033846612,-0.0016903857417159098,SVD,0.0012922317700125086,Popularity,-0.0019057577033846612,0.0013973235015833445,0.0005623409063305239,Germany/Austria/Switzerland,near-invisible despite target signal
Norway,0.0002551245337211066,-0.0008560516571991609,-0.0011111761909202674,0.0010389928882032055,0.0008582305041414256,0.0011111761909202674,9,85,21350,2614,0.0011111761909202674,-0.0008560516571991608,Hybrid,0.0010389928882032055,Popularity,-0.0011111761909202674,0.0016447035949932057,0.0005312189460005796,Nordics,near-invisible despite target signal
Denmark,0.0,-0.0008127764446363125,-0.0008127764446363125,0.0,0.0004835339790137984,0.0008127764446363125,7,167,30758,3825,0.0008127764446363125,-0.0008127764446363125,Popularity,0.0,Popularity,-0.0008127764446363125,0.003185888172324128,0.0006710468562078946,Nordics,near target or low-support signal
