label,value,share
UK/Ireland,2169.4857142857145,0.3725078492935636
France,1234.1857142857143,0.21191375588697017
Germany/Austria/Switzerland,762.5690476190476,0.13093561944008372
Italy/Malta,518.8523809523809,0.08908866431187859
Nordics,380.8857142857143,0.0653993328100471
Spain/Portugal,279.06904761904764,0.04791707548403977
Benelux,172.01904761904763,0.029536237571951857
Central Europe,108.45,0.018621222527472527
Eastern Europe,107.53333333333333,0.01846382783882784
Other Europe,47.516666666666666,0.008158768315018316
Balkans,43.43333333333333,0.00745764652014652
