country,european_region
Albania,Balkans
Austria,Germany/Austria/Switzerland
Belarus,Eastern Europe
Belgium,Benelux
Bosnia and Herzegovina,Balkans
Bulgaria,Eastern Europe
Croatia,Balkans
Cyprus,Balkans
Czech Republic,Central Europe
Czechia,Central Europe
Denmark,Nordics
Finland,Nordics
France,France
Germany,Germany/Austria/Switzerland
Greece,Balkans
Hungary,Central Europe
Iceland,Nordics
Ireland,UK/Ireland
Italy,Italy/Malta
Kosovo,Balkans
Luxembourg,Benelux
Malta,Italy/Malta
Moldova,Eastern Europe
Montenegro,Balkans
Netherlands,Benelux
North Macedonia,Balkans
Norway,Nordics
Poland,Central Europe
Portugal,Spain/Portugal
Romania,Eastern Europe
Russia,Eastern Europe
Serbia,Balkans
Slovakia,Central Europe
Slovenia,Central Europe
Spain,Spain/Portugal
Sweden,Nordics
Switzerland,Germany/Austria/Switzerland
Ukraine,Eastern Europe
United Kingdom,UK/Ireland
