group_name,group_type,model_name,exposure_at_20,history_share,relevant_test_share,PACPG_at_20,support_catalogue_items,support_train_interactions,support_test_interactions,support_users,support_recommendation_slots,metadata_coverage_rate,unknown_share,threshold_passed,threshold_reason_if_failed
English,language,Popularity,0.9999131245682525,0.9691493129100534,0.963947204503013,0.03076381165819919,14831,14350411,1793593,400,7999,0.6728132561038199,0.3271867438961801,True,
Unknown language,language,Popularity,0.0,0.00021633807314990668,0.0004926887432895322,-0.0004926887432895322,8925,18713,2397,7,0,0.6728132561038199,0.3271867438961801,True,
French,language,Popularity,0.0002773649414965341,0.02454738962414365,0.027993474752616362,-0.027716109811119827,1105,454770,56896,103,3,0.6728132561038199,0.3271867438961801,True,
Japanese,language,Popularity,0.0,0.013399049674318582,0.009780500305186094,-0.013399049674318582,574,239228,29976,54,0,0.6728132561038199,0.3271867438961801,True,
Spanish,language,Popularity,0.03965123473278299,0.021821248494702853,0.01704030725162341,0.017829986238080135,542,324535,40348,71,283,0.6728132561038199,0.3271867438961801,True,
Italian,language,Popularity,0.012393167446033138,0.01123042950150817,0.012990863171595222,-0.0005976957255620849,465,191051,24104,46,136,0.6728132561038199,0.3271867438961801,True,
German,language,Popularity,0.0,0.015225637869118019,0.017124113163996913,-0.017124113163996913,534,278263,34759,69,0,0.6728132561038199,0.3271867438961801,True,
Korean,language,Popularity,0.0,0.00047549069715123145,6.424778761061947e-05,-0.00047549069715123145,152,17434,2173,2,0,0.6728132561038199,0.3271867438961801,True,
Russian,language,Popularity,0.0,0.0056296219394734,0.004821149802460398,-0.0056296219394734,225,126389,15859,31,0,0.6728132561038199,0.3271867438961801,True,
Cantonese,language,Popularity,0.0,0.0011272892802239491,0.0018543806234601794,-0.0018543806234601794,138,35800,4516,10,0,0.6728132561038199,0.3271867438961801,True,
Hindi,language,Popularity,0.0,0.0010074760109972148,0.0006232364634228669,-0.0010074760109972148,125,16793,2168,6,0,0.6728132561038199,0.3271867438961801,True,
Swedish,language,Popularity,0.0,0.0007279569222875987,0.0014182373835511988,-0.0014182373835511988,132,24210,3064,11,0,0.6728132561038199,0.3271867438961801,True,
