item_id,movieId,title,imdb_id_str,country,original_language,production_company_country,is_european_wide,is_non_english,is_us_origin,has_us_company_signal,is_long_tail,train_interaction_count
0,1,Toy Story (1995),tt0114709,['United States'],"['English', 'Spanish']",['United States'],False,False,True,True,False,39948
1,3,Grumpier Old Men (1995),tt0113228,['United States'],['English'],[],False,False,True,False,False,10153
2,4,Waiting to Exhale (1995),tt0114885,['United States'],['English'],['United States'],False,False,True,True,False,2164
3,5,Father of the Bride Part II (1995),tt0113041,['United States'],['English'],['United States'],False,False,True,True,False,9736
4,7,Sabrina (1995),tt0114319,['United States'],['English'],['United States'],False,False,True,True,False,10349
5,9,Sudden Death (1995),tt0114576,['United States'],['English'],['United States'],False,False,True,True,False,3158
6,10,GoldenEye (1995),tt0113189,"['United Kingdom', 'United States']",['English'],"['United Kingdom', 'United States']",True,False,True,True,False,23158
7,11,"American President, The (1995)",tt0112346,['United States'],['English'],['United States'],False,False,True,True,False,14476
8,12,Dracula: Dead and Loving It (1995),tt0112896,"['France', 'Italy', 'United States']","['English', 'German']","['United Kingdom', 'United States']",True,False,True,True,False,3086
9,13,Balto (1995),tt0112453,['United States'],['English'],"['United Kingdom', 'United States']",False,False,True,True,False,1178
10,14,Nixon (1995),tt0113987,['United States'],['English'],['United States'],False,False,True,True,False,4773
11,15,Cutthroat Island (1995),tt0112760,"['France', 'Germany', 'Italy', 'United States']",['English'],['France'],True,False,True,True,False,2355
12,16,Casino (1995),tt0112641,"['France', 'United States']",['English'],['United States'],True,False,True,True,False,13791
13,17,Sense and Sensibility (1995),tt0114388,"['United Kingdom', 'United States']",['English'],['United States'],True,False,True,True,False,16619
14,18,Four Rooms (1995),tt0113101,['United States'],['English'],['United States'],False,False,True,True,False,4169
15,19,Ace Ventura: When Nature Calls (1995),tt0112281,['United States'],['English'],['United States'],False,False,True,True,False,16703
16,20,Money Train (1995),tt0113845,['United States'],['English'],['United States'],False,False,True,True,False,3293
17,21,Get Shorty (1995),tt0113161,['United States'],['English'],[],False,False,True,False,False,19267
18,22,Copycat (1995),tt0112722,['United States'],['English'],['United States'],False,False,True,True,False,7928
19,23,Assassins (1995),tt0112401,"['France', 'United States']","['English', 'Spanish']","['France', 'United States']",True,False,True,True,False,3357
20,24,Powder (1995),tt0114168,['United States'],['English'],['United States'],False,False,True,True,False,6408
21,25,Leaving Las Vegas (1995),tt0113627,"['France', 'United States']",['English'],[],True,False,True,False,False,17228
22,26,Othello (1995),tt0114057,"['United Kingdom', 'United States']",['English'],['United States'],True,False,True,True,False,2233
23,27,Now and Then (1995),tt0114011,['United States'],['English'],['United States'],False,False,True,True,False,1341
24,74508,Persuasion (2007),tt0844330,"['United Kingdom', 'United States']",['English'],['United Kingdom'],True,False,True,False,False,2532
25,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",tt0112682,"['France', 'Germany', 'Spain']",['French'],"['France', 'Germany', 'Spain', 'United Kingdom']",True,True,False,False,False,6871
26,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),tt0115012,"['France', ""People's Republic of China""]",['Mandarin'],[],True,True,False,False,False,1035
27,31,Dangerous Minds (1995),tt0112792,['United States'],"['English', 'Spanish']",['United States'],False,False,True,True,False,7594
28,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),tt0114746,['United States'],['English'],['United States'],False,False,True,True,False,35870
29,33,Wings of Courage (1995),tt0114952,"['France', 'United States']",['English'],[],True,False,True,False,False,49
30,34,Babe (1995),tt0112431,"['Australia', 'United States']",['English'],[],False,False,True,False,False,25737
31,35,Carrington (1995),tt0112637,"['France', 'United Kingdom']",['English'],"['France', 'United Kingdom']",True,False,False,True,False,1192
32,36,Dead Man Walking (1995),tt0112818,['United States'],['English'],['United Kingdom'],False,False,True,True,False,16691
33,37,Across the Sea of Time (1995),tt0112286,['United States'],['English'],[],False,False,True,False,False,59
