movieId,title,top_tags,top_genome_tags,theme_text,religion_theme_proxy
36,Dead Man Walking (1995),death penalty | true story | nun | prison | sean penn | religion | susan sarandon | christianity,death penalty | death | crime | oscar (best actress) | murder,death penalty | true story | nun | prison | sean penn | religion | susan sarandon | christianity | death penalty | death | crime | oscar (best actress) | murder,True
49,When Night Is Falling (1995),lesbian | nudity (topless - notable) | gay | religion | patricia rozema | circus | own | nudity (topless),lesbian | love story | love | nudity (topless - notable) | beautifully filmed,lesbian | nudity (topless - notable) | gay | religion | patricia rozema | circus | own | nudity (topless) | lesbian | love story | love | nudity (topless - notable) | beautifully filmed,True
73,"Misérables, Les (1995)",world war ii | foreign language | opera | jewish | lawyer | adapted from:book | author:victor hugo | claude lelouch,adapted from:book | world war ii | beautifully filmed | jews | story,world war ii | foreign language | opera | jewish | lawyer | adapted from:book | author:victor hugo | claude lelouch | adapted from:book | world war ii | beautifully filmed | jews | story,True
121,"Boys of St. Vincent, The (1992)",child abuse | sexual abuse | based on a true story | cover up | true story | religion | police corruption | orphans,child abuse | disturbing | corruption | pornography | true story,child abuse | sexual abuse | based on a true story | cover up | true story | religion | police corruption | orphans | child abuse | disturbing | corruption | pornography | true story,True
147,"Basketball Diaries, The (1995)",leonardo dicaprio | drugs | based on a true story | addiction | escape | true story | catholicism | heroin,drug abuse | drug addiction | drugs | addiction | heroin,leonardo dicaprio | drugs | based on a true story | addiction | escape | true story | catholicism | heroin | drug abuse | drug addiction | drugs | addiction | heroin,True
188,"Prophecy, The (1995)",christopher walken | viggo mortensen | christianity | religion | slashy | best devil ever | jonossa | angel,god | religion | devil | christianity | dark fantasy,christopher walken | viggo mortensen | christianity | religion | slashy | best devil ever | jonossa | angel | god | religion | devil | christianity | dark fantasy,True
261,Little Women (1994),louisa may alcott | based on a book | winona ryder | adapted from:book | christian bale | kirsten dunst | chick flick | litterature adaptation,adapted from:book | family bonds | girlie movie | literature | costume drama,louisa may alcott | based on a book | winona ryder | adapted from:book | christian bale | kirsten dunst | chick flick | litterature adaptation | adapted from:book | family bonds | girlie movie | literature | costume drama,True
280,Murder in the First (1995),prison | alcatraz | christian slater | corruption | kevin bacon | gary oldman | courtroom setting | marc rocco,alcatraz | lawyers | prison | based on true story | corruption,prison | alcatraz | christian slater | corruption | kevin bacon | gary oldman | courtroom setting | marc rocco | alcatraz | lawyers | prison | based on true story | corruption,True
299,Priest (1994),gay | religion | queer | homosexuality | catholicism | christianity | robert carlyle | priest,catholicism | sexual abuse | homosexuality | gay | queer,gay | religion | queer | homosexuality | catholicism | christianity | robert carlyle | priest | catholicism | sexual abuse | homosexuality | gay | queer,True
302,"Queen Margot (Reine Margot, La) (1994)",16th century | history | massacre | nudity (full frontal) | netflix | religion | france | christianity,france | history | french | historical | costume drama,16th century | history | massacre | nudity (full frontal) | netflix | religion | france | christianity | france | history | french | historical | costume drama,True
