Model,NDCG@5,Recall@5,NDCG@10,Recall@10,NDCG@20,Recall@20,NDCG@50,Recall@50,MAP@20,Coverage@20,Mean recommendation popularity@20,Europe wide Exposure@20,Europe wide CatalogueGap@20,Europe wide InteractionGap@20,Europe wide RelevantTestGap@20,Europe wide PACPG@20,EU27 Exposure@20,EU27 CatalogueGap@20,EU27 InteractionGap@20,EU27 RelevantTestGap@20,EU27 PACPG@20,US origin Exposure@20,US origin CatalogueGap@20,US origin InteractionGap@20,US origin RelevantTestGap@20,US origin PACPG@20,Non-English Exposure@20,Non-English CatalogueGap@20,Non-English InteractionGap@20,Non-English RelevantTestGap@20,Non-English PACPG@20,Long-tail 20 Exposure@20,Long-tail 20 CatalogueGap@20,Long-tail 20 InteractionGap@20,Long-tail 20 RelevantTestGap@20,Long-tail 20 PACPG@20,Blockbuster-head Exposure@20,Blockbuster-head CatalogueGap@20,Blockbuster-head InteractionGap@20,Blockbuster-head RelevantTestGap@20,Blockbuster-head PACPG@20,Spain-origin Exposure@20,Spain-origin CatalogueGap@20,Spain-origin InteractionGap@20,Spain-origin RelevantTestGap@20,Spain-origin PACPG@20,Spanish-language Exposure@20,Spanish-language CatalogueGap@20,Spanish-language InteractionGap@20,Spanish-language RelevantTestGap@20,Spanish-language PACPG@20,European Spanish-language Exposure@20,European Spanish-language CatalogueGap@20,European Spanish-language InteractionGap@20,European Spanish-language RelevantTestGap@20,European Spanish-language PACPG@20,variant,lambda
Hybrid rerank combined lambda=0.0,0.13922836934187044,0.08358488776581259,0.14567004126401875,0.13628166209365708,0.16682063943099146,0.21088323713025672,0.1991697035626473,0.3048644964305533,0.07909270935752995,0.2767972449418855,19966.405,0.18228919761884768,-0.12467332807556017,-0.03910400180398649,-0.018304985659876677,-0.018304985659876677,0.10703891125077297,-0.0975676348937482,-0.009771869363633334,0.006938241845127369,0.006938241845127369,0.9705390059298499,0.3062792684081085,0.0651485655919325,0.04191300206616855,0.03779380717584857,0.013166708910002456,-0.1724655052891226,-0.030311777709820298,-0.022052114948958285,-0.022052114948958285,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9982028687907529,0.7104255009522455,0.03049204389572302,0.013624624250520245,-0.0008084354006558936,0.0023021180955816096,-0.018253408178597486,-0.005394735636971413,-0.004016000853306417,-0.004016000853306417,0.018937822978796693,-0.00962908789454964,-0.002665622868503588,0.0018975157271732823,-0.00288342551590616,0.005041380176611516,-0.011771986186114462,-0.003236407112905745,-0.0015028217756052282,-0.0015028217756052282,combined,0.0
Hybrid rerank combined lambda=0.1,0.11608668639738984,0.07329446214809096,0.1196839185413432,0.11063090450907205,0.13322855466617697,0.1583972397568608,0.15946347165775368,0.23587860311044248,0.06414323573518982,0.2212656048213517,15219.305375,0.6732713750340822,0.36630884933967434,0.451878175611248,0.47267719175535783,0.47267719175535783,0.5010593975212103,0.29645285137668914,0.384248616906804,0.4009587281155647,0.4009587281155647,0.6834982422032537,0.019238504681512336,-0.22189219813466365,-0.2451277616604276,-0.24924695655074758,0.28045364400530715,0.09482142980618208,0.2369751573854844,0.2452348201463464,0.2452348201463464,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9921347962336665,0.7043574283951592,0.024423971338636608,0.007556551693433833,-0.006876507957742306,0.05347375483170262,0.03291822855752352,0.0457769010991496,0.047155635882814594,0.047155635882814594,0.0504036781541304,0.02183676728078407,0.028800232306830122,0.03336337090250699,0.02858242965942755,0.04679205377395748,0.029978687411231504,0.03851426648444022,0.04024785182174074,0.04024785182174074,combined,0.1
Hybrid rerank combined lambda=0.2,0.05180329356472466,0.03294874472986696,0.05077098785883414,0.043831438108210295,0.05837951660693979,0.06723884274476921,0.07436607710292137,0.1103488055926007,0.026124051911600304,0.11967283684890229,7556.8315,0.9589566031037698,0.651994077409362,0.7375634036809356,0.7583624198250455,0.7583624198250455,0.8649383938191778,0.6603318476746567,0.7481276132047715,0.7648377244135323,0.7648377244135323,0.2021980128038821,-0.4620617247178593,-0.7031924275340353,-0.7264279910597993,-0.7305471859501191,0.7848047638206864,0.5991725496215614,0.7413262772008636,0.7495859399617257,0.7495859399617257,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9746467783580712,0.6868694105195638,0.006935953463041322,-0.009931466182161452,-0.02436452583333759,0.15997829081788084,0.13942276454370175,0.15228143708532782,0.1536601718689928,0.1536601718689928,0.10924053111529403,0.08067362024194769,0.08763708526799374,0.09220022386367062,0.08741928262059118,0.10853283181405217,0.0917194654513262,0.1002550445245349,0.10198862986183542,0.10198862986183542,combined,0.2
Hybrid rerank combined lambda=0.3,0.025314318046063624,0.015298591885635171,0.024589948773621296,0.020105212765654527,0.027898017204910096,0.03118759845747836,0.03521544706807933,0.05161885446165755,0.012854899791368722,0.056392595781317265,4955.496125,0.998580541442299,0.6916180157478912,0.7771873420194648,0.7979863581635747,0.7979863581635747,0.9603628904205211,0.755756344276,0.8435521098061148,0.8602622210148756,0.8602622210148756,0.04336983526324764,-0.6208899022584937,-0.8620206050746697,-0.8852561686004337,-0.8893753634907536,0.9533231227639968,0.7676909085648718,0.909844636144174,0.9181042989050361,0.9181042989050361,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9656352623012822,0.6778578944627749,-0.0020755625937477484,-0.018942982238950523,-0.03337604189012666,0.19298541920846166,0.17242989293428257,0.18528856547590863,0.18666730025957362,0.18666730025957362,0.12497153398288945,0.09640462310954312,0.10336808813558916,0.10793122673126604,0.1031502854881866,0.12487826710697333,0.10806490074424735,0.11660047981745607,0.11833406515475658,0.11833406515475658,combined,0.3
Hybrid rerank combined lambda=0.4,0.019573601500028088,0.011284229055482866,0.018471013948550642,0.014144764770667057,0.019558607774199262,0.019967099292900248,0.0238120267316816,0.03327639814218969,0.009233919940353764,0.03659061558329746,4295.141125,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.9790925861006369,0.7744860399561158,0.8622818054862306,0.8789919166949913,0.8789919166949913,0.00953117424647317,-0.6547285632752682,-0.8958592660914442,-0.9190948296172081,-0.9232140245075281,0.990319634539518,0.8046874203403929,0.9468411479196952,0.9551008106805573,0.9551008106805573,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9629245062784583,0.675147138439951,-0.004786318616571639,-0.021653738261774413,-0.03608679791295055,0.19970809976264556,0.17915257348846647,0.19201124603009254,0.19338998081375752,0.19338998081375752,0.12835276402854826,0.09978585315520191,0.10674931818124797,0.11131245677692485,0.1065315155338454,0.12835276402854826,0.11153939766582227,0.12007497673903099,0.1218085620763315,0.1218085620763315,combined,0.4
Hybrid rerank combined lambda=0.5,0.014587223314314052,0.008569943341197152,0.013662962077159176,0.01123817136407365,0.014778564983851484,0.016977172552973513,0.01751397690785563,0.025448260088722686,0.005561546664120193,0.028842014636246232,4160.4315,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.9839267995131686,0.7793202533686474,0.8671160188987623,0.883826130107523,0.883826130107523,0.002164052596968092,-0.6620956849247733,-0.9032263877409493,-0.9264619512667133,-0.9305811461570332,0.9980079802654188,0.8123757660662938,0.954529493645596,0.9627891564064581,0.9627891564064581,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9623755462516729,0.6745981784131656,-0.005335278643357033,-0.022202698288559808,-0.03663575793973595,0.20093454584359216,0.18037901956941307,0.19323769211103914,0.19461642689470413,0.19461642689470413,0.12939423443852988,0.10082732356518354,0.10779078859122959,0.11235392718690647,0.10757298594382703,0.12939423443852988,0.11258086807580389,0.12111644714901261,0.12285003248631313,0.12285003248631313,combined,0.5
Hybrid rerank combined lambda=0.6,0.01308658166253855,0.005569943341197152,0.012162320425383672,0.00823817136407365,0.012347220543513273,0.011620029695830654,0.015419250708895573,0.02195833334879595,0.004599550327123857,0.027120103314679293,4109.999875,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.9853882061442895,0.7807816599997683,0.8685774255298832,0.8852875367386439,0.8852875367386439,0.00034440161561994726,-0.6639153359061214,-0.9050460387222974,-0.9282816022480613,-0.9324007971383813,0.9998276312467671,0.814195417047642,0.9563491446269443,0.9646088073878064,0.9646088073878064,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9623530775363682,0.6745757096978608,-0.00535774735866168,-0.022225167003864454,-0.03665822665504059,0.20119011115515306,0.18063458488097398,0.19349325742260004,0.19487199220626503,0.19487199220626503,0.1295650090490285,0.10099809817568217,0.10796156320172823,0.1125247017974051,0.10774376055432566,0.1295650090490285,0.11275164268630253,0.12128722175951125,0.12302080709681176,0.12302080709681176,combined,0.6
Hybrid rerank combined lambda=0.7,0.01308658166253855,0.005569943341197152,0.012162320425383672,0.00823817136407365,0.012347220543513273,0.011620029695830654,0.014462872272728277,0.018351190491653093,0.004599550327123857,0.026259147653895823,4102.3035,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.9854752631679531,0.7808687170234319,0.8686644825535468,0.8853745937623074,0.8853745937623074,0.0001720328623871277,-0.6640877046593543,-0.9052184074755303,-0.9284539710012942,-0.9325731658916142,0.9999999999999999,0.8143677858008749,0.9565215133801771,0.9647811761410392,0.9647811761410392,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9623530775363682,0.6745757096978608,-0.00535774735866168,-0.022225167003864454,-0.03665822665504059,0.20127095688302388,0.1807154306088448,0.19357410315047086,0.19495283793413584,0.19495283793413584,0.1295650090490285,0.10099809817568217,0.10796156320172823,0.1125247017974051,0.10774376055432566,0.1295650090490285,0.11275164268630253,0.12128722175951125,0.12302080709681176,0.12302080709681176,combined,0.7
Hybrid rerank combined lambda=0.8,0.01308658166253855,0.005569943341197152,0.012162320425383672,0.00823817136407365,0.012347220543513273,0.011620029695830654,0.014462872272728277,0.018351190491653093,0.004599550327123857,0.026259147653895823,4102.3035,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.9854752631679531,0.7808687170234319,0.8686644825535468,0.8853745937623074,0.8853745937623074,0.0001720328623871277,-0.6640877046593543,-0.9052184074755303,-0.9284539710012942,-0.9325731658916142,0.9999999999999999,0.8143677858008749,0.9565215133801771,0.9647811761410392,0.9647811761410392,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9623530775363682,0.6745757096978608,-0.00535774735866168,-0.022225167003864454,-0.03665822665504059,0.20127095688302388,0.1807154306088448,0.19357410315047086,0.19495283793413584,0.19495283793413584,0.1295650090490285,0.10099809817568217,0.10796156320172823,0.1125247017974051,0.10774376055432566,0.1295650090490285,0.11275164268630253,0.12128722175951125,0.12302080709681176,0.12302080709681176,combined,0.8
Hybrid rerank combined lambda=0.9,0.01308658166253855,0.005569943341197152,0.012162320425383672,0.00823817136407365,0.012347220543513273,0.011620029695830654,0.014462872272728277,0.018351190491653093,0.004599550327123857,0.026259147653895823,4102.3035,0.9999999999999999,0.693037474305592,0.7786068005771657,0.7994058167212755,0.7994058167212755,0.9854752631679531,0.7808687170234319,0.8686644825535468,0.8853745937623074,0.8853745937623074,0.0001720328623871277,-0.6640877046593543,-0.9052184074755303,-0.9284539710012942,-0.9325731658916142,0.9999999999999999,0.8143677858008749,0.9565215133801771,0.9647811761410392,0.9647811761410392,0.0,-0.0209771780951879,0.0,0.0,0.0,0.9623530775363682,0.6745757096978608,-0.00535774735866168,-0.022225167003864454,-0.03665822665504059,0.20127095688302388,0.1807154306088448,0.19357410315047086,0.19495283793413584,0.19495283793413584,0.1295650090490285,0.10099809817568217,0.10796156320172823,0.1125247017974051,0.10774376055432566,0.1295650090490285,0.11275164268630253,0.12128722175951125,0.12302080709681176,0.12302080709681176,combined,0.9
