group_name,model_name,catalogue_share,train_interaction_share,relevant_test_share,exposure_at_20,PACPG_at_20,support_catalogue_items,support_train_interactions,threshold_passed
Spain-origin,Popularity,0.020555526274179097,0.007696853732553022,0.006318118948888027,0.0,-0.006318118948888027,390,115625,True
Spanish-language,Popularity,0.028566910873346334,0.02160344584730028,0.01704030725162341,0.03965123473278299,0.017829986238080135,542,324535,True
European Spanish-language,Popularity,0.016813366362725977,0.00827778728951726,0.006544201952216744,0.0,-0.006544201952216744,319,124352,True
France-origin,Popularity,0.09592578927950245,0.053102798945466136,0.04688649004265924,0.0007696475155699639,-0.04611684252708927,1820,797730,True
Germany-origin,Popularity,0.054709323775892056,0.045428578123348294,0.031164293836632346,0.006391117348306749,-0.025895650751602443,1038,682445,True
Italy-origin,Popularity,0.0423760080113846,0.02131307891989361,0.021971696261056183,0.01265098032897029,-0.009320715932085893,804,320173,True
UK-origin,Popularity,0.13071206451272863,0.1421394038171868,0.1271008472470292,0.07759505617632162,-0.05649027883893623,2480,2135271,True
Spain-origin,ItemKNN,0.020555526274179097,0.007696853732553022,0.006318118948888027,0.00017604815061130331,-0.006142070798276724,390,115625,True
Spanish-language,ItemKNN,0.028566910873346334,0.02160344584730028,0.01704030725162341,0.004811204685460368,-0.017010043809242485,542,324535,True
European Spanish-language,ItemKNN,0.016813366362725977,0.00827778728951726,0.006544201952216744,0.0034132887206942326,-0.0031309132315225116,319,124352,True
France-origin,ItemKNN,0.09592578927950245,0.053102798945466136,0.04688649004265924,0.005792643756626634,-0.041093846286032604,1820,797730,True
Germany-origin,ItemKNN,0.054709323775892056,0.045428578123348294,0.031164293836632346,0.018890202045252952,-0.01339656605465624,1038,682445,True
Italy-origin,ItemKNN,0.0423760080113846,0.02131307891989361,0.021971696261056183,0.0019990089718716036,-0.01997268728918458,804,320173,True
UK-origin,ItemKNN,0.13071206451272863,0.1421394038171868,0.1271008472470292,0.12301764570637357,-0.011067689308884285,2480,2135271,True
Spain-origin,SVD,0.020555526274179097,0.007696853732553022,0.006318118948888027,0.002970423638554896,-0.0033476953103331315,390,115625,True
Spanish-language,SVD,0.028566910873346334,0.02160344584730028,0.01704030725162341,0.017481185826046554,-0.004340062668656299,542,324535,True
European Spanish-language,SVD,0.016813366362725977,0.00827778728951726,0.006544201952216744,0.00572542812559802,-0.0008187738266187241,319,124352,True
France-origin,SVD,0.09592578927950245,0.053102798945466136,0.04688649004265924,0.029423035178626242,-0.017463454864032998,1820,797730,True
Germany-origin,SVD,0.054709323775892056,0.045428578123348294,0.031164293836632346,0.021001067137144447,-0.011285700962764746,1038,682445,True
Italy-origin,SVD,0.0423760080113846,0.02131307891989361,0.021971696261056183,0.020440099843242826,-0.0015315964178133565,804,320173,True
UK-origin,SVD,0.13071206451272863,0.1421394038171868,0.1271008472470292,0.13018338613232697,-0.0039019488829308835,2480,2135271,True
Spain-origin,MPNet-content,0.020555526274179097,0.007696853732553022,0.006318118948888027,0.0030160898262029555,-0.003302029122685072,390,115625,True
Spanish-language,MPNet-content,0.028566910873346334,0.02160344584730028,0.01704030725162341,0.02695728759337117,0.0051360390986683185,542,324535,True
European Spanish-language,MPNet-content,0.016813366362725977,0.00827778728951726,0.006544201952216744,0.018584622927817995,0.01204042097560125,319,124352,True
France-origin,MPNet-content,0.09592578927950245,0.053102798945466136,0.04688649004265924,0.0793329113104814,0.032446421267822156,1820,797730,True
Germany-origin,MPNet-content,0.054709323775892056,0.045428578123348294,0.031164293836632346,0.05156778279508663,0.019281014695177436,1038,682445,True
Italy-origin,MPNet-content,0.0423760080113846,0.02131307891989361,0.021971696261056183,0.014379739556871461,-0.007591956704184721,804,320173,True
UK-origin,MPNet-content,0.13071206451272863,0.1421394038171868,0.1271008472470292,0.09230148765909094,-0.041783847356166914,2480,2135271,True
Spain-origin,CLIP-image-content,0.020555526274179097,0.007696853732553022,0.006318118948888027,0.0,-0.006318118948888027,390,115625,True
Spanish-language,CLIP-image-content,0.028566910873346334,0.02160344584730028,0.01704030725162341,0.009388128860911416,-0.012433119633791437,542,324535,True
European Spanish-language,CLIP-image-content,0.016813366362725977,0.00827778728951726,0.006544201952216744,0.00018349267633802215,-0.006360709275878722,319,124352,True
France-origin,CLIP-image-content,0.09592578927950245,0.053102798945466136,0.04688649004265924,0.01779232972541413,-0.02909416031724511,1820,797730,True
Germany-origin,CLIP-image-content,0.054709323775892056,0.045428578123348294,0.031164293836632346,0.03584750870260259,0.003560740602693395,1038,682445,True
Italy-origin,CLIP-image-content,0.0423760080113846,0.02131307891989361,0.021971696261056183,0.07109668562524263,0.049124989364186446,804,320173,True
UK-origin,CLIP-image-content,0.13071206451272863,0.1421394038171868,0.1271008472470292,0.2990662465961635,0.16498091158090564,2480,2135271,True
Spain-origin,Hybrid,0.020555526274179097,0.007696853732553022,0.006318118948888027,0.0023021180955816096,-0.004016000853306417,390,115625,True
Spanish-language,Hybrid,0.028566910873346334,0.02160344584730028,0.01704030725162341,0.018937822978796693,-0.00288342551590616,542,324535,True
European Spanish-language,Hybrid,0.016813366362725977,0.00827778728951726,0.006544201952216744,0.005041380176611516,-0.0015028217756052282,319,124352,True
France-origin,Hybrid,0.09592578927950245,0.053102798945466136,0.04688649004265924,0.044935231504480165,-0.001951258538179075,1820,797730,True
Germany-origin,Hybrid,0.054709323775892056,0.045428578123348294,0.031164293836632346,0.035620566744559316,0.003333798644650124,1038,682445,True
Italy-origin,Hybrid,0.0423760080113846,0.02131307891989361,0.021971696261056183,0.02320526261519026,0.0012335663541340781,804,320173,True
UK-origin,Hybrid,0.13071206451272863,0.1421394038171868,0.1271008472470292,0.10607610626800405,-0.028009228747253798,2480,2135271,True
