label,support_catalogue_items,share_catalogue,share_interaction,train_interactions,threshold_passed,threshold_reason_if_failed
Afghanistan,1.5833333333333333,5.804433365104968e-05,4.227028860688578e-06,63.5,False,low catalogue item or train-interaction support
Albania,1.3333333333333333,4.887943886404184e-05,2.8845866240919425e-07,4.333333333333333,False,low catalogue item or train-interaction support
Algeria,1.9166666666666665,7.026419336706015e-05,3.5147578558166444e-05,528.0,False,low catalogue item or train-interaction support
Argentina,45.93525641025641,0.0016839671680569106,0.00017585472708338788,2641.755128205128,True,
Armenia,0.5833333333333333,2.13847545030183e-05,3.383842001338625e-07,5.083333333333333,False,low catalogue item or train-interaction support
Australia,291.43333333333334,0.010683823349707945,0.014688827658730147,220661.03333333333,True,
Austria,38.116190476190475,0.0013973235015833445,0.0005623409063305239,8447.694285714286,True,
Azerbaijan,0.5,1.832978957401569e-05,3.994043017973459e-07,6.0,False,low catalogue item or train-interaction support
Bangladesh,0.5,1.832978957401569e-05,3.3283691816445495e-08,0.5,False,low catalogue item or train-interaction support
Belarus,0.7,2.5661705403621966e-05,3.6612060998090045e-07,5.5,False,low catalogue item or train-interaction support
Belgium,75.29119047619048,0.0027601433564114113,0.0006895328704224795,10358.419285714286,True,
Bolivia,3.7,0.00013564044284771612,3.7943408670747866e-07,5.7,False,low catalogue item or train-interaction support
Bosnia and Herzegovina,1.75,6.415426350905492e-05,1.9465412430651203e-05,292.41666666666663,False,low catalogue item or train-interaction support
Botswana,0.8333333333333333,3.0549649290026145e-05,0.0002605003612833801,3913.3333333333335,False,low catalogue item or train-interaction support
Brazil,45.375,0.0016634284038419239,0.0001935169315027835,2907.0833333333335,True,
British Hong Kong,7.533333333333333,0.0002761688295818364,0.00013559332263462343,2036.9333333333334,False,low catalogue item or train-interaction support
Bulgaria,5.059523809523809,0.00018548001354658735,1.4496632723767558e-05,217.77380952380952,False,low catalogue item or train-interaction support
Burkina Faso,1.4166666666666665,5.193440379304445e-05,1.0706254200956633e-06,16.083333333333332,False,low catalogue item or train-interaction support
Cambodia,0.5,1.832978957401569e-05,1.3313476726578198e-07,2.0,False,low catalogue item or train-interaction support
Cameroon,0.16666666666666666,6.10992985800523e-06,6.212955805736492e-07,9.333333333333332,False,low catalogue item or train-interaction support
Canada,499.2170995670996,0.01830108877363075,0.010236785523381408,153780.8002164502,True,
Chad,0.3333333333333333,1.221985971601046e-05,1.9970215089867296e-07,3.0,False,low catalogue item or train-interaction support
Chile,10.166666666666666,0.000372705721338319,1.1943298080134524e-05,179.41666666666666,False,low catalogue item or train-interaction support
Colombia,8.416666666666666,0.0003085514578292641,4.384571668619753e-05,658.6666666666666,False,low catalogue item or train-interaction support
Croatia,1.4833333333333334,5.437837573624655e-05,6.37937426481872e-07,9.583333333333332,False,low catalogue item or train-interaction support
Cuba,4.166666666666667,0.00015274824645013075,1.977606022093803e-05,297.0833333333333,False,low catalogue item or train-interaction support
Cyprus,0.29,1.06312779529291e-05,3.050783191895394e-06,45.83,False,low catalogue item or train-interaction support
Czech Republic,17.075714285714284,0.0006259884993663129,0.0018924323573629286,28428.822857142855,False,low catalogue item or train-interaction support
Czechoslovakia,15.833333333333334,0.0005804433365104969,4.99699159804235e-05,750.6666666666666,False,low catalogue item or train-interaction support
Democratic Republic of the Congo,0.5,1.832978957401569e-05,5.99106452696019e-07,9.0,False,low catalogue item or train-interaction support
Denmark,86.90465756465757,0.003185888172324128,0.0006710468562078946,10080.715503385503,True,
Dominican Republic,1.25,4.5824473935039224e-05,8.853462023174502e-06,133.0,False,low catalogue item or train-interaction support
Ecuador,0.8333333333333333,3.0549649290026145e-05,4.019560515032734e-05,603.8333333333333,False,low catalogue item or train-interaction support
